genus,RA,genus_lineage
ESCHERICHIA,0.166797,561
ENTEROCOCCUS,0.1347903,1350
STAPHYLOCOCCUS,0.1072926999999999,1279
NEISSERIA,0.0947978999999999,482
STREPTOCOCCUS,0.0936021,1301
VIBRIO,0.092866,662
LISTERIA,0.0883243,1637
SALMONELLA,0.0738172,590
ACINETOBACTER,0.0690597,469
KLEBSIELLA,0.0548766,570
ACHROMOBACTER,0.022284,222
LEGIONELLA,0.0014013,445
AEROMONAS,9.1e-05,642
