SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,20,0.0749,0.0240,6.8932,0.7602,0.0336,89.4737,6.4245,bio3
SRR17380242,20,0.0712,0.0237,4.2115,0.7631,0.0332,89.4737,6.4792,bio3
SRR17380243,20,0.0619,0.0236,4.7057,0.7644,0.0334,89.4737,6.9590,bio3
SRR17380244,20,0.0709,0.0243,4.3978,0.7569,0.0336,89.4737,6.3814,bio3
SRR17380245,20,0.0818,0.0236,4.3166,0.7637,0.0332,89.4737,6.2467,bio3
SRR17380246,20,0.0727,0.0240,4.3439,0.7597,0.0336,89.4737,6.3996,bio3
Average,20,0.0722,0.0239,4.8114,0.7614,0.0334,89.4737,6.4817,bio3
SRR17380241,20,0.1406,0.0108,1.9151,0.8915,0.0207,94.7368,6.3568,biobakery4
SRR17380242,20,0.1431,0.0112,1.8260,0.8878,0.0207,94.7368,6.3653,biobakery4
SRR17380243,20,0.1408,0.0109,2.6694,0.8915,0.0207,94.7368,6.4018,biobakery4
SRR17380244,20,0.1431,0.0107,2.1140,0.8925,0.0207,94.7368,6.3937,biobakery4
SRR17380245,20,0.1305,0.0108,2.8366,0.8920,0.0208,94.7368,6.4467,biobakery4
SRR17380246,20,0.1412,0.0108,2.0632,0.8925,0.0206,94.7368,6.3387,biobakery4
Average,20,0.1399,0.0109,2.2374,0.8913,0.0207,94.7368,6.3839,biobakery4
SRR17380241,19,0.0294,0.0200,1.8893,0.8104,0.0232,100.0000,0.0000,jams
SRR17380242,19,0.0298,0.0201,1.9110,0.8092,0.0233,100.0000,0.0000,jams
SRR17380243,19,0.0296,0.0201,1.8964,0.8091,0.0232,100.0000,0.0000,jams
SRR17380244,19,0.0276,0.0201,1.8859,0.8094,0.0232,100.0000,0.0000,jams
SRR17380245,19,0.0291,0.0199,1.8776,0.8108,0.0231,100.0000,0.0000,jams
SRR17380246,19,0.0276,0.0201,1.8902,0.8094,0.0232,100.0000,0.0000,jams
Average,19,0.0289,0.0200,1.8917,0.8097,0.0232,100.0000,0.0000,jams
SRR17380241,19,0.0297,0.0200,1.8882,0.8104,0.0232,100.0000,0.0000,jams202212
SRR17380242,19,0.0301,0.0201,1.9109,0.8093,0.0233,100.0000,0.0000,jams202212
SRR17380243,19,0.0297,0.0201,1.8994,0.8087,0.0233,100.0000,0.0000,jams202212
SRR17380244,19,0.0277,0.0201,1.8866,0.8095,0.0232,100.0000,0.0000,jams202212
SRR17380245,19,0.0299,0.0199,1.8728,0.8112,0.0230,100.0000,0.0000,jams202212
SRR17380246,19,0.0277,0.0200,1.8887,0.8096,0.0232,100.0000,0.0000,jams202212
Average,19,0.0291,0.0200,1.8911,0.8098,0.0232,100.0000,0.0000,jams202212
SRR17380241,23,0.0086,0.0255,8.1408,0.7064,0.0354,100.0000,17.3359,wgsa
SRR17380242,23,0.0080,0.0257,8.2096,0.7045,0.0358,100.0000,17.4898,wgsa
SRR17380243,23,0.0092,0.0255,8.0725,0.7067,0.0353,100.0000,17.2552,wgsa
SRR17380244,23,0.0081,0.0255,8.1417,0.7068,0.0355,100.0000,17.3726,wgsa
SRR17380245,23,0.0088,0.0255,8.1662,0.7073,0.0354,100.0000,17.3035,wgsa
SRR17380246,23,0.0086,0.0255,8.0583,0.7070,0.0354,100.0000,17.3254,wgsa
Average,23,0.0086,0.0255,8.1315,0.7064,0.0355,100.0000,17.3471,wgsa
SRR17380241,28,0.1012,0.0310,7.8392,0.5653,0.0402,94.7368,19.1731,woltka
SRR17380242,29,0.1165,0.0299,8.2754,0.5660,0.0392,94.7368,19.6496,woltka
SRR17380243,28,0.1011,0.0311,8.1637,0.5652,0.0401,94.7368,19.1861,woltka
SRR17380244,28,0.1010,0.0311,7.9874,0.5645,0.0403,94.7368,19.1145,woltka
SRR17380245,28,0.1015,0.0311,8.3078,0.5645,0.0403,94.7368,19.0719,woltka
SRR17380246,29,0.1178,0.0301,8.7547,0.5640,0.0396,94.7368,19.1682,woltka
Average,28,0.1065,0.0307,8.2214,0.5649,0.0399,94.7368,19.2272,woltka
