SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP
MBARC,biobakery4,27,0.4973,0.0223,22.5509,0.6987,0.0386,86.9565,14.3685,0,4
MBARC,jams202212,25,0.1446,0.0216,11.9922,0.7296,0.0515,91.3043,8.4629,0.1712444431851745,2
MBARC,sunbeam,24,0.7804,0.0111,10.8121,0.8668,0.0250,95.6522,7.9766,0,1
