SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP
MBARC,biobakery4,28,0.4965,0.0169,18.9910,0.7629,0.0353,92.0000,7.9522,0,3
MBARC,jams202212,26,0.2314,0.0229,9.1838,0.7020,0.0501,40.0000,0.0000,0.19616385957735585,1
MBARC,sunbeam,25,0.9875,0.0043,3.3009,0.9462,0.0064,100.0000,0.0000,0,0
