genus,SRR11487933,tax_id
AKKERMANSIA,0.0014717,239934
ALISTIPES,0.010076799999999999,239759
ANAEROBUTYRICUM,0.0084216,2569097
ANAEROSTIPES,0.0127074,207244
BACTEROIDES,0.073322,816
BIFIDOBACTERIUM,0.4941021,1678
BLAUTIA,0.0003805,572511
CLOSTRIDIUM,0.023363599999999998,1485
COLLINSELLA,0.0074717,102106
ESCHERICHIA,0.1259323,561
FAECALIBACTERIUM,0.0006754,216851
LACTOBACILLUS,0.0006843000000000001,1578
PARABACTEROIDES,0.10462239999999999,375288
PREVOTELLA,0.1228964,838
ROSEBURIA,0.0125592,841
RUMINOCOCCUS,0.0013125,1263
