genus,SRR11487932,tax_id
AKKERMANSIA,0.0014256,239934
ALISTIPES,0.0106962,239759
ANAEROBUTYRICUM,0.0075279,2569097
ANAEROSTIPES,0.011537200000000001,207244
BACTEROIDES,0.071341,816
BIFIDOBACTERIUM,0.5049035,1678
BLAUTIA,0.000525,572511
CLOSTRIDIUM,0.0182144,1485
COLLINSELLA,0.0087859,102106
ESCHERICHIA,0.1333595,561
FAECALIBACTERIUM,0.0006013,216851
LACTOBACILLUS,0.0006567000000000001,1578
PARABACTEROIDES,0.1044341,375288
PREVOTELLA,0.1137081,838
ROSEBURIA,0.0111044,841
RUMINOCOCCUS,0.0011792,1263
