genus,RA,genus_lineage
MURICAUDA,0.7486824,111500
COHAESIBACTER,0.1936211,655352
MICROMONOSPORA,0.0367427,1873
THIOCLAVA,0.0205531,285107
HALOMONAS,0.0004006,2745
