SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
S1,biobakery3,5,0.9899,0.0246,2.7430,0.9386,0.0276,80.0000,0.0000
S1,biobakery4,10,1.0000,0.0007,0.0932,0.9964,0.0010,100.0000,0.0000
S1,jams,5,0.9938,0.0134,1.5916,0.9665,0.0173,80.0000,0.0000
S1,wgsa2,5,0.9952,0.0118,1.4987,0.9705,0.0154,80.0000,0.0000
S1,woltka,6,0.9066,0.0443,11.7319,0.8671,0.0656,100.0000,0.0000
S2,biobakery3,6,0.9232,0.0299,0.8456,0.9104,0.0377,83.3333,0.0000
S2,biobakery4,8,0.9423,0.0224,0.9544,0.9103,0.0370,100.0000,0.0000
S2,jams,6,0.9161,0.0314,0.5387,0.9057,0.0388,100.0000,0.0000
S2,wgsa2,6,0.9400,0.0270,0.5123,0.9190,0.0326,100.0000,0.0000
S2,woltka,6,0.6198,0.0941,11.3717,0.7176,0.1179,100.0000,0.0000
