SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
S1,bio4,42,0.9940,0.0023,7.3336,0.9518,0.0051,97.3684,0.5400
S1,jams,395,0.9531,0.0007,38.2065,0.8699,0.0038,97.3684,3.8600
S1,wgsa,3108,0.7922,0.0001,89.8267,0.8092,0.0029,97.3684,2.4464
S1,woltka,115,0.7717,0.0053,20.6858,0.6968,0.0151,84.2105,8.4030
S2,bio4,23,0.9610,0.0066,3.5363,0.9239,0.0181,95.2381,0.3265
S2,jams,109,0.9545,0.0022,26.4585,0.8812,0.0087,90.4762,1.1095
S2,wgsa,1629,0.7471,0.0003,75.6421,0.7843,0.0054,95.2381,4.3657
S2,woltka,130,0.7678,0.0053,17.2586,0.6561,0.0181,76.1905,30.1296
