SampleID,Source/Pipeline,R^2,MAE,AD,1-BC,RMSE
S1,bio4,0.9945,0.0002,5.6885,0.9539,0.0017
S1,jams,0.9575,0.0006,19.3401,0.8863,0.0037
S1,wgsa,0.7889,0.0008,53.7532,0.8399,0.0085
S1,woltka,0.7895,0.0014,13.5012,0.7257,0.0082
S2,bio4,0.9677,0.0004,2.3895,0.9254,0.0045
S2,jams,0.9564,0.0006,18.1605,0.8856,0.0047
S2,wgsa,0.7444,0.0011,64.1185,0.7742,0.0122
S2,woltka,0.7760,0.0017,13.4128,0.6720,0.0106
