"Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","LKT","NumBases","PctFromCtg","CumSum","PctCumSum","NumContigs","ContigSum","LargestContigSize","N50","L50","N90","ProbNumGenomes","Num16S"
"d__Unclassified","k__Unclassified","p__Unclassified","c__Unclassified","o__Unclassified","f__Unclassified","g__Unclassified","s__Unclassified","LKT__Unclassified",7740160345,100,7740160345,17.09,146,8033053,749837,130704,131,39473,1.81,3
"d__Bacteria","k__Bacteria","p__Thermotogae","c__Thermotogae","o__Thermotogales","f__Fervidobacteriaceae","g__Fervidobacterium","s__Fervidobacterium_pennivorans","LKT__s__Fervidobacterium_pennivorans",5389855395,100,13130015740,28.99,58,2127916,168379,84450,49,21661,1.03,3
"d__Bacteria","k__Bacteria","p__Spirochaetes","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Sediminispirochaeta","s__Sediminispirochaeta_smaragdinae","LKT__s__Sediminispirochaeta_smaragdinae",5157896529,100,18287912269,40.38,80,4637425,477796,195192,73,53273,1,1
"d__Bacteria","k__Bacteria","p__Deinococcus_Thermus","c__Deinococci","o__Thermales","f__Thermaceae","g__Meiothermus","s__Meiothermus_silvanus","LKT__s__Meiothermus_silvanus",3825189086,100,22113101355,48.83,239,3497582,103128,25374,200,7820,0.94,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Hyphomonadales","f__Hyphomonadaceae","g__Hirschia","s__Hirschia_baltica","LKT__s__Hirschia_baltica",3775133395,100,25888234750,57.16,7,3537204,1642003,1255982,6,233152,1,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Paenibacillaceae","g__Thermobacillus","s__Thermobacillus_composti","LKT__s__Thermobacillus_composti",3675938009,100,29564172759,65.28,174,4171725,268077,61800,153,16144,0.96,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Desulfallaceae","g__Desulfoscipio","s__Desulfoscipio_gibsoniae","LKT__s__Desulfoscipio_gibsoniae",3220962730,100,32785135489,72.39,174,4742814,275490,105005,161,15409,0.98,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Desulfitobacteriaceae","g__Desulfosporosinus","s__Desulfosporosinus_meridiei","LKT__s__Desulfosporosinus_meridiei",2166549295,100,34951684784,77.17,68,4815339,428250,182856,60,72856,0.99,2
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","g__Frateuria","s__Frateuria_aurantia","LKT__s__Frateuria_aurantia",1650619744,100,36602304528,80.82,33,3585253,425657,389257,29,121099,0.99,1
"d__Bacteria","k__Bacteria","p__Verrucomicrobia","c__Opitutae","o__Puniceicoccales","f__Puniceicoccaceae","g__Coraliomargarita","s__Coraliomargarita_akajimensis","LKT__s__Coraliomargarita_akajimensis",1511326485,100,38113631013,84.16,32,3735669,942984,348814,29,179434,1,0
"d__Archaea","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Natrialbales","f__Natrialbaceae","g__Natronococcus","s__Natronococcus_occultus","LKT__s__Natronococcus_occultus",1343995696,100,39457626709,87.12,27,4293632,844683,364079,23,68242,1,1
"d__Bacteria","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Terriglobus","s__Terriglobus_roseus","LKT__s__Terriglobus_roseus",1038904412,100,40496531121,89.42,20,4759834,1688210,1088483,19,589263,0.98,1
