Organism 	ILLUMINA 
Muricauda sp. 	74263482 
Psychrobacter sp. 	45769662 
Marinobacter sp. 8 	64862842 
Marinobacter sp. 1 	20090318 
Cohaesibacter sp. 	29119402 
Halomonas sp. HL-4 	71778728 
Halomonas sp. HL-93 	80284678 
Thioclava sp. 	12987850 
Propionibact. b. 	4794346 
M. echinaurantiaca 	3614040 
M. echinofusca 	4279722 
M. coxensis 	18442 
