genus,RA,genus_lineage
BIFIDOBACTERIUM,0.1045613,1678
STREPTOCOCCUS,0.0761066,1301
RUMINOCOCCUS,0.0721962,2316020
CLOSTRIDIUM,0.06959,2719313
ESCHERICHIA,0.0681166,561
ANAEROSTIPES,0.0650237999999999,207244
PARABACTEROIDES,0.0635889,375288
BACTEROIDES,0.0601781,816
CUTIBACTERIUM,0.0589554,1912216
BLAUTIA,0.057649599999999995,572511
COLLINSELLA,0.0523726,102106
STAPHYLOCOCCUS,0.0506051,1279
AKKERMANSIA,0.0486184,239934
LACTOBACILLUS,0.0418919,1578
FLAVONIFRACTOR,0.0400888,946234
BACILLUS,0.0379938,2893059
MEGAMONAS,0.0103223999999999,158846
MEGASPHAERA,0.0100053,906
PSEUDOMONAS,0.0072972,286
BACILLUS,0.0048379,1386
COLLINSELLA,0.0,1472762
