genus,RA,genus_lineage
BIFIDOBACTERIUM,0.1056607,1678
STREPTOCOCCUS,0.0794648,1301
ESCHERICHIA,0.0729341,561
RUMINOCOCCUS,0.0728925,2316020
ANAEROSTIPES,0.0652688,207244
CLOSTRIDIUM,0.0642448,2719313
PARABACTEROIDES,0.0628049,375288
BLAUTIA,0.0605595,572511
BACTEROIDES,0.0590803,816
CUTIBACTERIUM,0.057645,1912216
STAPHYLOCOCCUS,0.0509954,1279
COLLINSELLA,0.0502426,102106
AKKERMANSIA,0.0479586,239934
LACTOBACILLUS,0.0423439,1578
FLAVONIFRACTOR,0.0388677,946234
BACILLUS,0.0376408,2893059
MEGAMONAS,0.0112286999999999,158846
MEGASPHAERA,0.008426000000000001,906
PSEUDOMONAS,0.0072609,286
BACILLUS,0.0044799,1386
COLLINSELLA,0.0,1472762
