genus,RA,genus_lineage
BIFIDOBACTERIUM,0.1046304,1678
STREPTOCOCCUS,0.0786717,1301
RUMINOCOCCUS,0.0732995,2316020
ESCHERICHIA,0.0707387,561
ANAEROSTIPES,0.0664724999999999,207244
CLOSTRIDIUM,0.0639965,2719313
PARABACTEROIDES,0.0635316,375288
BLAUTIA,0.060628299999999795,572511
BACTEROIDES,0.0600708999999999,816
CUTIBACTERIUM,0.057488,1912216
STAPHYLOCOCCUS,0.0520002,1279
COLLINSELLA,0.0499716,102106
AKKERMANSIA,0.0487164999999999,239934
LACTOBACILLUS,0.0420452,1578
FLAVONIFRACTOR,0.0397147,946234
BACILLUS,0.036839,2893059
MEGASPHAERA,0.0094325999999999,906
MEGAMONAS,0.0088434,158846
PSEUDOMONAS,0.0075715,286
BACILLUS,0.0053374,1386
COLLINSELLA,0.0,1472762
