genus,RA,genus_lineage
BIFIDOBACTERIUM,0.1035577999999999,1678
STREPTOCOCCUS,0.079539,1301
RUMINOCOCCUS,0.0730181,2316020
ESCHERICHIA,0.0701034,561
ANAEROSTIPES,0.0661527,207244
CLOSTRIDIUM,0.0638131,2719313
PARABACTEROIDES,0.0631744,375288
BLAUTIA,0.0602414999999999,572511
BACTEROIDES,0.0600937,816
CUTIBACTERIUM,0.0584605,1912216
STAPHYLOCOCCUS,0.0551471,1279
COLLINSELLA,0.0486209,102106
AKKERMANSIA,0.0483675,239934
LACTOBACILLUS,0.0434166999999999,1578
FLAVONIFRACTOR,0.0389008999999999,946234
BACILLUS,0.0371252,2893059
MEGASPHAERA,0.0098783,906
MEGAMONAS,0.007976,158846
PSEUDOMONAS,0.007006,286
BACILLUS,0.0054001,1386
COLLINSELLA,7e-06,1472762
