genus,RA,genus_lineage
BIFIDOBACTERIUM,0.0992732,1678
STREPTOCOCCUS,0.0661142,1301
RUMINOCOCCUS,0.0636534,2316020
ESCHERICHIA,0.0621139,561
MEGASPHAERA,0.0591772999999999,906
ENTEROCLOSTER,0.0582287,2719313
PARABACTEROIDES,0.0565699,375288
AKKERMANSIA,0.0542212,239934
BACILLUS,0.0535944,1386
BACTEROIDES,0.0528936,816
ANAEROSTIPES,0.0528753,207244
CUTIBACTERIUM,0.0522628,1912216
BLAUTIA,0.0475919,572511
STAPHYLOCOCCUS,0.0457616,1279
PSEUDOMONAS,0.042548,286
LACTOBACILLUS,0.0375611,1578
FLAVONIFRACTOR,0.0352366,946234
COLLINSELLA,0.0312347999999999,102106
MEGAMONAS,0.0290879,158846
