species,SRR17380246,tax_id
AKKERMANSIA_MUCINIPHILA,0.05393970000000001,239935
ANAEROSTIPES_CACCAE,0.05381179999999999,105841
BACILLUS_SUBTILIS,0.0523429,1423
BACTEROIDES_UNIFORMIS,0.051890900000000004,820
BIFIDOBACTERIUM_LONGUM,0.0973565,216816
BLAUTIA_PRODUCTA,0.04652389999999999,33035
COLLINSELLA_AEROFACIENS,0.0312772,74426
CUTIBACTERIUM_ACNES,0.051879600000000005,1747
ENTEROCLOSTER_CLOSTRIDIOFORMIS,0.056850500000000005,1531
ESCHERICHIA_COLI,0.061584,562
FLAVONIFRACTOR_PLAUTII,0.034354,292800
LACTOBACILLUS_DELBRUECKII,0.036267999999999995,1584
MEGAMONAS_FUNIFORMIS,0.0315646,437897
MEGASPHAERA_MASSILIENSIS,0.059573299999999996,1232428
PARABACTEROIDES_DISTASONIS,0.0570241,823
PSEUDOMONAS_PUTIDA,0.043143,303
RUMINOCOCCUS_GNAVUS,0.0633872,33038
STAPHYLOCOCCUS_EPIDERMIDIS,0.0480983,1282
STREPTOCOCCUS_MUTANS,0.0691306,1309
