genus,RA,genus_lineage
BIFIDOBACTERIUM,0.0989462,1678
STREPTOCOCCUS,0.0701596,1301
RUMINOCOCCUS,0.0639375,2316020
ESCHERICHIA,0.0618146,561
MEGASPHAERA,0.0584480999999999,906
PARABACTEROIDES,0.0563561,375288
ENTEROCLOSTER,0.0557024,2719313
AKKERMANSIA,0.053305,239934
BACTEROIDES,0.05305,816
ANAEROSTIPES,0.0527086,207244
CUTIBACTERIUM,0.0522146,1912216
BACILLUS,0.0501555,1386
STAPHYLOCOCCUS,0.0483336,1279
BLAUTIA,0.0469466,572511
PSEUDOMONAS,0.0431756,286
LACTOBACILLUS,0.0363162999999999,1578
FLAVONIFRACTOR,0.0362537,946234
COLLINSELLA,0.0312085,102106
MEGAMONAS,0.0309676,158846
