genus,RA,genus_lineage
BIFIDOBACTERIUM,0.0986327999999999,1678
STREPTOCOCCUS,0.0683869,1301
RUMINOCOCCUS,0.0635681,2316020
ESCHERICHIA,0.0604665,561
MEGASPHAERA,0.0599689,906
ENTEROCLOSTER,0.0582552999999999,2719313
PARABACTEROIDES,0.0558496,375288
AKKERMANSIA,0.0531393,239934
ANAEROSTIPES,0.0528668,207244
BACTEROIDES,0.0526171,816
BACILLUS,0.0516014999999999,1386
CUTIBACTERIUM,0.0513099,1912216
STAPHYLOCOCCUS,0.0490719,1279
BLAUTIA,0.047301,572511
PSEUDOMONAS,0.0440568,286
FLAVONIFRACTOR,0.0358084,946234
LACTOBACILLUS,0.0357694,1578
COLLINSELLA,0.0308019,102106
MEGAMONAS,0.0305279,158846
