genus,RA,genus_lineage
BIFIDOBACTERIUM,0.0973565,1678
STREPTOCOCCUS,0.0691306,1301
RUMINOCOCCUS,0.0633872,2316020
ESCHERICHIA,0.061584,561
MEGASPHAERA,0.0595732999999999,906
PARABACTEROIDES,0.0570241,375288
ENTEROCLOSTER,0.0568505,2719313
AKKERMANSIA,0.0539397,239934
ANAEROSTIPES,0.0538117999999999,207244
BACILLUS,0.0523429,1386
BACTEROIDES,0.0518909,816
CUTIBACTERIUM,0.0518796,1912216
STAPHYLOCOCCUS,0.0480983,1279
BLAUTIA,0.0465238999999999,572511
PSEUDOMONAS,0.043143,286
LACTOBACILLUS,0.0362679999999999,1578
FLAVONIFRACTOR,0.034354,946234
MEGAMONAS,0.0315646,158846
COLLINSELLA,0.0312772,102106
