genus,Mix-B,tax_id
ACHROMOBACTER,0.0324076,222
ACINETOBACTER,0.0989897,469
AEROMONAS,0.0032224000000000003,642
ENTEROCOCCUS,0.0,1350
ESCHERICHIA,0.04436759999999999,561
KLEBSIELLA,0.4037679,570
LEGIONELLA,0.009222900000000001,445
LISTERIA,0.0,1637
NEISSERIA,0.0,482
SALMONELLA,0.3677765,590
STAPHYLOCOCCUS,0.0,1279
STREPTOCOCCUS,0.0402455,1301
VIBRIO,0.0,662
