genus,Mix-D,tax_id
ACHROMOBACTER,0.0,222
ACINETOBACTER,0.0,469
AEROMONAS,0.0017182,642
ENTEROCOCCUS,0.361074,1350
ESCHERICHIA,0.0348619,561
KLEBSIELLA,0.0,570
LEGIONELLA,0.0062621000000000005,445
LISTERIA,0.2202346,1637
NEISSERIA,0.0255085,482
SALMONELLA,0.0,590
STAPHYLOCOCCUS,0.0258881,1279
STREPTOCOCCUS,0.0,1301
VIBRIO,0.3244526,662
