Pipeline,Community,Mean AD ± Stdev,Mean Sens ± Stdev (%),Mean FPRA ± Stdev (%)
biobakery4,hilo,2.71 ± 0.04,100.00 ± 0.00,0.00 ± 0.00
jams202212,hilo,6.36 ± 0.10,63.16 ± 0.00,0.82 ± 0.09
sunbeam,hilo,12.14 ± 0.26,89.47 ± 0.00,0.97 ± 0.01
biobakery4,mixed,2.00 ± 0.06,100.00 ± 0.00,0.00 ± 0.00
jams202212,mixed,5.34 ± 0.30,100.00 ± 0.00,8.05 ± 1.51
sunbeam,mixed,15.02 ± 0.11,89.47 ± 0.00,12.67 ± 0.18
biobakery4,tourlousse,3.81 ± 0.02,94.74 ± 0.00,4.72 ± 0.04
jams202212,tourlousse,5.70 ± 0.52,94.74 ± 0.00,7.91 ± 0.40
sunbeam,tourlousse,8.18 ± 0.21,100.00 ± 0.00,1.53 ± 0.01
