genus,RA,genus_lineage
BIFIDOBACTERIUM,0.5082115,1678
ESCHERICHIA,0.1262839,561
PREVOTELLA,0.1167591,838
PARABACTEROIDES,0.1022762,375288
BACTEROIDES,0.07201419999999989,816
CLOSTRIDIUM,0.019614,1485
ROSEBURIA,0.012173199999999999,841
ANAEROSTIPES,0.0115497999999999,207244
ALISTIPES,0.0105852,239759
COLLINSELLA,0.0094181,102106
ANAEROBUTYRICUM,0.0064684,2569097
AKKERMANSIA,0.0015837,239934
RUMINOCOCCUS,0.0011798,1263
FAECALIBACTERIUM,0.000795,216851
LACTOBACILLUS,0.0005855,1578
BLAUTIA,0.0005024,572511
