genus,RA,genus_lineage
BIFIDOBACTERIUM,0.4975182999999999,1678
ESCHERICHIA,0.130431,561
PREVOTELLA,0.1161289999999999,838
PARABACTEROIDES,0.1042566,375288
BACTEROIDES,0.0741339,816
CLOSTRIDIUM,0.022406,1485
ANAEROSTIPES,0.0122181999999999,207244
ALISTIPES,0.0113888,239759
ROSEBURIA,0.0109244,841
COLLINSELLA,0.0085968,102106
ANAEROBUTYRICUM,0.0077808,2569097
AKKERMANSIA,0.0014089999999999,239934
RUMINOCOCCUS,0.0010582999999999,1263
BLAUTIA,0.0007044999999999,572511
FAECALIBACTERIUM,0.0005274,216851
LACTOBACILLUS,0.0005170999999999,1578
