genus,RA,genus_lineage
BIFIDOBACTERIUM,0.2156312,1678
PREVOTELLA,0.1296272999999999,838
ROSEBURIA,0.08268249999999999,841
BACTEROIDES,0.0810143,816
AKKERMANSIA,0.0692926,239934
ALISTIPES,0.0486879,239759
RUMINOCOCCUS,0.0444798,1263
ANAEROSTIPES,0.044389,207244
ESCHERICHIA,0.0438253999999999,561
COLLINSELLA,0.0430362,102106
FAECALIBACTERIUM,0.0399675,216851
PARABACTEROIDES,0.0385677,375288
ANAEROBUTYRICUM,0.0382632,2569097
BLAUTIA,0.0362971,572511
LACTOBACILLUS,0.0358117,1578
CLOSTRIDIUM,0.0084266,1485
