genus,RA,genus_lineage
BIFIDOBACTERIUM,0.2165059,1678
PREVOTELLA,0.1295135999999999,838
BACTEROIDES,0.08027429999999999,816
ROSEBURIA,0.08015459999999999,841
AKKERMANSIA,0.0735638,239934
ALISTIPES,0.0495371,239759
ANAEROSTIPES,0.0430597,207244
RUMINOCOCCUS,0.0429844,1263
ESCHERICHIA,0.0420004,561
COLLINSELLA,0.0419837,102106
FAECALIBACTERIUM,0.0414557,216851
PARABACTEROIDES,0.0413782,375288
LACTOBACILLUS,0.0376776,1578
BLAUTIA,0.0361025,572511
ANAEROBUTYRICUM,0.0353072,2569097
CLOSTRIDIUM,0.0085014,1485
