index,x,y,pipeline
0,0.1949303001135969,0.0,woltka
1,0.180310903579145,0.0,woltka
2,0.17427794866178878,0.0,woltka
3,0.15748625481540598,0.0,woltka
4,0.11112822735314315,0.0,woltka
5,0.07070158232419484,0.0,woltka
6,0.048779067372202625,0.0,woltka
7,0.03153435451694002,0.0,woltka
8,0.011640618458087606,0.0,woltka
9,0.010391117142710106,0.0,woltka
10,0.008774848693078605,0.0,woltka
11,4.477696970641092e-05,0.9269916770562965,woltka
12,0.0,0.022762054017120652,woltka
13,0.0,0.010485357298219273,woltka
14,0.0,0.006912993066171669,woltka
15,0.0,0.006318918870257297,woltka
16,0.0,0.004844883381592741,woltka
17,0.0,0.003323699752708725,woltka
18,0.0,0.003021486277220971,woltka
19,0.0,0.0029525492877349744,woltka
20,0.0,0.002854774115396342,woltka
21,0.0,0.0024527179682172716,woltka
22,0.0,0.0018126934084610627,woltka
23,0.0,0.0015139893414685803,woltka
24,0.0,0.0014986166064293977,woltka
