,x,y
0,0.19087574987123415,0.0016
1,0.17656043678469885,0.0016
2,0.17065296732962354,0.0016
3,0.1542105407152455,0.0016
4,0.10881676022419776,0.0016
5,0.06923098941185157,0.0016
6,0.04776446277086079,0.0016
7,0.030878439942987657,0.0016
8,0.01139849359415938,0.0016
9,0.010174981906141734,0.0016
10,0.008592331840262568,0.0016
11,4.3845608736517585e-05,0.9127335503335412
12,0.0016,0.02241194920099441
13,0.0016,0.010324081251420028
14,0.0016,0.006806663814668497
15,0.0016,0.006221727117372169
16,0.0016,0.004770363876270836
17,0.0016,0.0032725776839399715
18,0.0016,0.002975012576002259
19,0.0016,0.0029071359113889677
20,0.0016,0.0028108646261208207
21,0.0016,0.0024149925339208836
22,0.0016,0.001784812238686732
23,0.0016,0.0014907025607758103
24,0.0016,0.0014755662748975782
