SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
S1,biobakery4,15,0.1578,0.0973,25.9132,0.2702,0.1716,33.3333,2.6303
S1,jams,53,0.1596,0.0239,35.5864,0.3655,0.0566,50.0000,50.0747
S1,wgsa2,551,0.0983,0.0025,43.6908,0.3121,0.0191,50.0000,38.4051
S1,woltka,130,0.2516,0.0124,44.8238,0.1949,0.0667,8.3333,12.0865
