genus,RA,genus_lineage
BIFIDOBACTERIUM,0.1646294,1678
PREVOTELLA,0.16301100000000002,838
ROSEBURIA,0.10183249999999999,841
BACTEROIDES,0.09430350000000001,816
COLLINSELLA,0.0800102,102106
AKKERMANSIA,0.0728268,239934
ESCHERICHIA,0.0525441,561
PARABACTEROIDES,0.0512713,375288
ANAEROSTIPES,0.0494792,207244
EUBACTERIUM,0.0453333,2569097
LACTOBACILLUS,0.0438657,1578
FAECALIBACTERIUM,0.0400108,216851
BLAUTIA,0.0331017,572511
CLOSTRIDIUM,0.0066701999999999,1485
ALISTIPES,0.0011104,239759
