genus,EG,tax_id
ACHROMOBACTER,0.063514,222
ACINETOBACTER,0.0179457,469
ENTEROCOCCUS,0.12613649999999998,1350
ESCHERICHIA,0.1624353,561
KLEBSIELLA,0.0774026,570
LEGIONELLA,0.001673,445
LISTERIA,0.0762777,1637
NEISSERIA,0.0973717,482
SALMONELLA,0.0776727,590
STAPHYLOCOCCUS,0.102561,1279
STREPTOCOCCUS,0.0954471,1301
VIBRIO,0.10156269999999999,662
