genus,Mix-A,tax_id
ACHROMOBACTER,0.0,222
ACINETOBACTER,0.0076968,469
AEROMONAS,0.0024087,642
ENTEROCOCCUS,9.78e-05,1350
ESCHERICHIA,0.34512790000000004,561
KLEBSIELLA,0.0255101,570
LEGIONELLA,0.0055674,445
LISTERIA,0.0,1637
NEISSERIA,0.2971352,482
SALMONELLA,0.024478,590
STAPHYLOCOCCUS,0.2919782,1279
STREPTOCOCCUS,0.0,1301
VIBRIO,0.0,662
