genus,SRR17380242,tax_id
AKKERMANSIA,0.04999869999999999,239934
ANAEROSTIPES,0.0646024,207244
BACILLUS,0.042451100000000005,1386
BACTEROIDES,0.0597631,816
BIFIDOBACTERIUM,0.1069757,1678
BLAUTIA,0.13182159999999998,572511
COLLINSELLA,0.0466083,102106
CUTIBACTERIUM,0.0592427,1912216
ENORMA,0.0,1472762
ESCHERICHIA,0.071751,561
FLAVONIFRACTOR,0.0393124,946234
LACHNOCLOSTRIDIUM,0.0647925,1506553
LACTOBACILLUS,0.0444174,1578
MEGAMONAS,0.01306,158846
MEGASPHAERA,0.010930200000000001,906
PARABACTEROIDES,0.0631853,375288
PSEUDOMONAS,0.007078299999999999,286
STAPHYLOCOCCUS,0.049913400000000004,1279
STREPTOCOCCUS,0.0740961,1301
