genus,SRR17380245
Akkermansia,0.040887040887040885
Anaerostipes,0.047917047917047914
Bacillus,0.05645005645005645
Bacteroides,0.07025907025907026
Bifidobacterium,0.06712406712406713
Blautia,0.08350908350908351
Campylobacter,7.7000077000077e-05
Citrobacter,0.0
Clostridioides,0.00037000037000037
Clostridium,0.0
Collinsella,0.030264030264030264
Cutibacterium,0.033912033912033915
Eisenbergiella,0.0002000002000002
Enterocloster,0.08028208028208028
Enterococcus,0.0
Escherichia,0.07453907453907455
Flavonifractor,0.03791103791103791
Lactobacillus,0.019353019353019352
Mediterraneibacter,0.0
Megamonas,0.025616025616025617
Megasphaera,0.04173204173204173
Mucispirillum,0.0
Paenibacillus,3.1000031000031e-05
Parabacteroides,0.07531107531107531
Phocaeicola,1.5000015000015e-05
Pseudomonas,0.07328507328507329
Ruminococcus,0.06418706418706419
Sporofaciens,0.000311000311000311
Staphylococcus,0.031826031826031824
Streptococcus,0.036006036006036
