species,SRR17380244
Enterocloster clostridioformis,80261.0
Escherichia coli,74279.0
Parabacteroides distasonis,73294.0
Pseudomonas putida,73322.0
Bacteroides uniformis,68186.0
Bifidobacterium longum,66148.0
Ruminococcus gnavus,64660.0
Bacillus subtilis,56161.0
Blautia producta,56130.0
Anaerostipes caccae,47597.0
Megasphaera massiliensis,41897.0
Akkermansia muciniphila,40927.0
Flavonifractor plautii,38300.0
Streptococcus mutans,35961.0
Cutibacterium acnes,33806.0
Staphylococcus epidermidis,31129.0
Collinsella aerofaciens,29854.0
Megamonas funiformis,25313.0
Lactobacillus delbrueckii,19358.0
Blautia Unclassified NSJ 34,5939.0
Blautia Unclassified NBRC 113351,5595.0
Blautia Unclassified AF13 16,1361.0
Blautia marasmi,571.0
Akkermansia phage DTMo 2021a,0.0
Staphylococcus aureus,615.0
Bacteroides thetaiotaomicron,455.0
Clostridioides difficile,350.0
Sporofaciens musculi,260.0
Parabacteroides Unclassified AF27 14,640.0
Bacteroides Unclassified 3 1 23,143.0
Bacteroides eggerthii,183.0
Eisenbergiella massiliensis,209.0
Campylobacter coli,88.0
Bacteroides intestinalis,71.0
Bacteroides fragilis,74.0
Staphylococcus Unclassified HMSC076E07,69.0
Enterococcus faecium,118.0
Blautia Unclassified AM47 4,0.0
Bacteroides finegoldii,0.0
Phocaeicola vulgatus,14.0
Blautia Unclassified AF34 10,13.0
Citrobacter Unclassified RHBSTW 00053,0.0
Paenibacillus ihbetae,27.0
Megamonas rupellensis,0.0
Blautia pseudococcoides,0.0
Bacteroides Unclassified AM32 11AC,28.0
Megamonas hypermegale,0.0
Bacteroides nordii,14.0
Clostridium Unclassified MCC353,0.0
Bacteroides Unclassified AF17 1,0.0
Mucispirillum schaedleri,0.0
