SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,19,0.9172,0.0153,6.4096,0.8547,0.0286,89.4737,0.0000,bio3
SRR11487932,19,0.9064,0.0149,6.4430,0.8588,0.0292,89.4737,0.0000,bio3
SRR11487933,19,0.9102,0.0138,9.4236,0.8691,0.0275,89.4737,0.0000,bio3
SRR11487934,20,0.9001,0.0139,7.3968,0.8608,0.0286,89.4737,0.0477,bio3
SRR11487935,19,0.9147,0.0132,6.5020,0.8749,0.0266,89.4737,0.0000,bio3
Average,19,0.9097,0.0142,7.2350,0.8637,0.0281,89.4737,0.0095,bio3
SRR11487931,19,0.9202,0.0189,2.7055,0.8205,0.0397,100.0000,0.0000,biobakery4
SRR11487932,19,0.9183,0.0193,2.7692,0.8164,0.0397,100.0000,0.0000,biobakery4
SRR11487933,19,0.9283,0.0177,2.6827,0.8318,0.0364,100.0000,0.0000,biobakery4
SRR11487934,19,0.9237,0.0184,2.6704,0.8256,0.0376,100.0000,0.0000,biobakery4
SRR11487935,19,0.9309,0.0176,2.7348,0.8326,0.0359,100.0000,0.0000,biobakery4
Average,19,0.9243,0.0184,2.7125,0.8254,0.0379,100.0000,0.0000,biobakery4
SRR11487931,26,0.9075,0.0149,9.9269,0.8065,0.0286,100.0000,0.3374,jams
SRR11487932,27,0.9026,0.0145,9.9790,0.8045,0.0284,100.0000,0.3846,jams
SRR11487933,27,0.9132,0.0138,9.8546,0.8139,0.0263,100.0000,0.2205,jams
SRR11487934,28,0.9067,0.0137,9.6729,0.8076,0.0269,94.7368,0.4761,jams
SRR11487935,28,0.9194,0.0131,9.5029,0.8163,0.0253,100.0000,0.3168,jams
Average,27,0.9099,0.0140,9.7873,0.8097,0.0271,98.9474,0.3471,jams
SRR11487931,30,0.9056,0.0130,9.6721,0.8046,0.0269,100.0000,0.3977,jams202212
SRR11487932,28,0.9013,0.0140,10.8452,0.8045,0.0279,94.7368,0.4901,jams202212
SRR11487933,31,0.9131,0.0120,9.3566,0.8137,0.0246,100.0000,0.3031,jams202212
SRR11487934,30,0.9052,0.0128,9.4433,0.8075,0.0261,100.0000,0.4197,jams202212
SRR11487935,29,0.9180,0.0127,9.5305,0.8163,0.0249,100.0000,0.2464,jams202212
Average,30,0.9086,0.0129,9.7696,0.8093,0.0261,98.9474,0.3714,jams202212
SRR11487931,40,0.9104,0.0101,8.5873,0.7984,0.0258,89.4737,3.9102,wgsa
SRR11487932,39,0.9091,0.0104,10.8582,0.7974,0.0261,89.4737,4.0958,wgsa
SRR11487933,42,0.9178,0.0091,8.5420,0.8081,0.0230,89.4737,4.0933,wgsa
SRR11487934,40,0.9148,0.0097,8.2703,0.8052,0.0243,89.4737,4.0552,wgsa
SRR11487935,43,0.9209,0.0088,8.8905,0.8107,0.0223,89.4737,4.1729,wgsa
Average,41,0.9146,0.0096,9.0296,0.8040,0.0243,89.4737,4.0655,wgsa
SRR11487931,133,0.3934,0.0070,13.4673,0.5356,0.0303,94.7368,22.3368,wol
SRR11487932,137,0.3783,0.0069,13.8033,0.5277,0.0305,94.7368,22.5242,wol
SRR11487933,137,0.3875,0.0068,14.2130,0.5360,0.0300,94.7368,22.2556,wol
SRR11487934,136,0.4007,0.0067,13.6495,0.5419,0.0297,94.7368,22.0471,wol
SRR11487935,138,0.3947,0.0067,13.7982,0.5411,0.0296,94.7368,22.0347,wol
Average,136,0.3909,0.0068,13.7863,0.5365,0.0300,94.7368,22.2397,wol
