genus,RA,tax_id
ACINETOBACTER,0.301,469
KLEBSIELLA,0.301,570
SALMONELLA,0.301,590
STREPTOCOCCUS,0.029,1301
ACHROMOBACTER,0.029,222
SHIGELLA,0.029,620
LEGIONELLA,0.0053,445
AEROMONAS,0.0053,642
STAPHYLOCOCCUS,0.00035,1279
NEISSERIA,0.00035,482
ESCHERICHIA,0.00035,561
ENTEROCOCCUS,0.0,1350
LISTERIA,0.0,1637
VIBRIO,0.0,662
