genus,RA,tax_id
ENTEROCOCCUS,0.096,1350
LISTERIA,0.096,1637
VIBRIO,0.096,662
STAPHYLOCOCCUS,0.088,1279
NEISSERIA,0.088,482
ESCHERICHIA,0.088,561
ACINETOBACTER,0.076,469
KLEBSIELLA,0.076,570
SALMONELLA,0.076,590
STREPTOCOCCUS,0.072,1301
ACHROMOBACTER,0.072,222
SHIGELLA,0.072,620
LEGIONELLA,0.0014,445
AEROMONAS,0.0014,642
