Organism,ILLUMINA
Muricauda sp. ES.050,74263482
Psychrobacter sp. LV10R520-6,45769662
Marinobacter sp. LV10R510-8,64862842
Marinobacter sp. LV10MA510-1,20090318
Cohaesibacter sp. ES.047,29119402
Halomonas sp. HL-4,71778728
Halomonas sp. HL-93,80284678
Thioclava sp. ES.032,12987850
Propionibacteriaceae bacterium ES.041,4794346
Micromonospora echinaurantiaca DSM 43904,3614040
Micromonospora echinofusca DSM 43913,4279722
Micromonospora coxensis DSM 45161,18442
