SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
S1,biobakery3,8,0.0109,0.1752,11.9443,0.2991,0.2526,75.0000,0.0000
S1,biobakery4,8,0.0127,0.1772,8.3828,0.2912,0.2573,62.5000,0.0000
S1,jams,23,0.9959,0.0035,13.9947,0.9593,0.0062,87.5000,2.9354
S1,wgsa2,1618,0.9109,0.0002,101.1986,0.8167,0.0040,87.5000,4.1538
S1,woltka,63,0.6255,0.0182,9.7162,0.4276,0.0753,87.5000,4.0960
