SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified
S1,biobakery3,15,0.1578,0.0973,22.1457,0.2702,0.1716,33.3333,2.6303,0
S1,biobakery4,14,0.2588,0.0670,16.8327,0.5313,0.1029,58.3333,17.9266,0
S1,jams,43,0.1446,0.0295,33.7177,0.3656,0.0629,50.0000,50.0438,0.013231678827408045
S1,wgsa2,84,0.0697,0.0163,44.1600,0.3159,0.0494,50.0000,37.3442,0.2852785106375292
S1,woltka,110,0.2503,0.0146,42.1407,0.1949,0.0726,8.3333,11.9647,0
