SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
S1,biobakery3,8,0.0109,0.1752,11.9443,0.2991,0.2526,75.0000,0.0000
S1,biobakery4,8,0.0127,0.1772,8.3828,0.2912,0.2573,62.5000,0.0000
S1,jams,16,0.9956,0.0051,4.7767,0.9594,0.0075,87.5000,2.9122
S1,wgsa2,58,0.9060,0.0062,6.4206,0.8190,0.0219,87.5000,2.6902
S1,woltka,56,0.6253,0.0204,8.3467,0.4276,0.0800,87.5000,4.0480
