Genus,RA,tax_id
HALOMONAS,0.3692082487753856,2745
MARINOBACTER,0.2062653221876086,2742
MURICAUDA,0.1803109035791449,111500
PSYCHROBACTER,0.1111282273531431,497
COHAESIBACTER,0.0707015823241948,655352
THIOCLAVA,0.03153435451694,285107
MICROMONOSPORA,0.0192107428054952,1873
CUTIBACTERIUM,0.0116406184580876,1912216
