Genus,RA
Achromobacter,0.00023
Acinetobacter,0.0
Aeromonas,0.0043
Enterococcus,0.3
Escherichia,0.02758
Klebsiella,0.0
Legionella,0.0043
Listeria,0.3
Neisseria,0.02758
Salmonella,0.0
Shigella,0.00023
Staphylococcus,0.02758
Streptococcus,0.00023
Vibrio,0.3
