Genus,RA
Achromobacter,0.029
Acinetobacter,0.301
Aeromonas,0.0053
Enterococcus,0.0
Escherichia,0.00035
Klebsiella,0.301
Legionella,0.0053
Listeria,0.0
Neisseria,0.00035
Salmonella,0.301
Shigella,0.029
Staphylococcus,0.00035
Streptococcus,0.029
Vibrio,0.0
