Genus,RA,tax_id
ACHROMOBACTER,0.072,222
ACINETOBACTER,0.076,469
AEROMONAS,0.0014,642
ENTEROCOCCUS,0.096,1350
ESCHERICHIA,0.088,561
KLEBSIELLA,0.076,570
LEGIONELLA,0.0014,445
LISTERIA,0.096,1637
NEISSERIA,0.088,482
SALMONELLA,0.076,590
SHIGELLA,0.072,620
STAPHYLOCOCCUS,0.088,1279
STREPTOCOCCUS,0.072,1301
VIBRIO,0.096,662
