Genus,RA,tax_id
ACHROMOBACTER,0.00023,222
ACINETOBACTER,0.0,469
AEROMONAS,0.0043,642
ENTEROCOCCUS,0.3,1350
ESCHERICHIA,0.02758,561
KLEBSIELLA,0.0,570
LEGIONELLA,0.0043,445
LISTERIA,0.3,1637
NEISSERIA,0.02758,482
SALMONELLA,0.0,590
SHIGELLA,0.00023,620
STAPHYLOCOCCUS,0.02758,1279
STREPTOCOCCUS,0.00023,1301
VIBRIO,0.3,662
