Genus,RA,tax_id
ACHROMOBACTER,0.0,222
ACINETOBACTER,0.026,469
AEROMONAS,0.0047,642
ENTEROCOCCUS,0.00033,1350
ESCHERICHIA,0.304,561
KLEBSIELLA,0.026,570
LEGIONELLA,0.0047,445
LISTERIA,0.00033,1637
NEISSERIA,0.304,482
SALMONELLA,0.026,590
SHIGELLA,0.0,620
STAPHYLOCOCCUS,0.304,1279
STREPTOCOCCUS,0.0,1301
VIBRIO,0.00033,662
