Genus,RA
Achromobacter,0.291
Acinetobacter,0.00031
Aeromonas,0.0054
Enterococcus,0.039
Escherichia,0.0
Klebsiella,0.00031
Legionella,0.0054
Listeria,0.039
Neisseria,0.0
Salmonella,0.00031
Shigella,0.291
Staphylococcus,0.0
Streptococcus,0.291
Vibrio,0.039
