Genus,RA
Achromobacter,0.072
Acinetobacter,0.076
Aeromonas,0.0014
Enterococcus,0.096
Escherichia,0.088
Klebsiella,0.076
Legionella,0.0014
Listeria,0.096
Neisseria,0.088
Salmonella,0.076
Shigella,0.072
Staphylococcus,0.088
Streptococcus,0.072
Vibrio,0.096
