SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,combined_name,num_seqs,sum_len,min_len,avg_len,max_len,num_seqs_stddev,sum_len_stddev,min_len_stddev,avg_len_stddev,max_len_stddev
S2,1631.0,0.7464,0.0003,75.969,0.7839,0.0055,95.2381,4.3371,wgsa2,0.0,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,913.0,0.92056,0.0001,49.7341,0.80292,0.00102,100.0,4.680840000000001,wgsa2,0.0,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,2132.0,0.6685399999999999,4e-05,71.09372,0.7297199999999999,0.0007,100.0,14.911520000000001,wgsa2,0.0,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,988.0,0.5213,0.0008,47.3889,0.6055,0.0075,85.7143,17.7253,wgsa2,0.0,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,596.0,0.1568,0.0019,45.2053,0.4289,0.0252,81.8182,51.3325,wgsa2,0.0,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,647.0,0.4797,0.0011,43.5733,0.6353,0.0157,81.8182,27.9369,wgsa2,0.0,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,1011.0,0.5124,0.0008,47.4955,0.5815,0.0136,90.9091,9.6626,wgsa2,0.0,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,717.0,0.9073,0.0005,36.6774,0.8288,0.0065,90.9091,2.7789,wgsa2,0.0,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,3036.8333333333335,0.5935666666666667,0.0,85.47873333333332,0.7091166666666666,0.0005,100.0,20.99165,wgsa2,0.0,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,130.0,0.2516,0.0124,44.8238,0.1949,0.0667,8.3333,12.0865,woltka,0.0,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
