SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,combined_name,num_seqs,sum_len,min_len,avg_len,max_len,num_seqs_stddev,sum_len_stddev,min_len_stddev,avg_len_stddev,max_len_stddev
,22.833333333333332,0.7001833333333334,0.0019333333333333336,5.251483333333334,0.8671333333333333,0.0031,100.0,12.225050000000001,biobakery4,0.0001,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,42.0,0.1427,0.0302,15.5546,0.3656,0.0637,54.5455,50.0438,jams,0.0001,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,51.0,0.9589,0.0045,12.1964,0.8855,0.0093,97.3684,1.4705,jams,0.0001,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,26.0,0.944,0.0088,4.491,0.885,0.0181,95.2381,0.2812,jams,0.0001,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,27.2,0.90988,0.00282,11.204419999999999,0.80974,0.00542,98.94736,0.34708,jams,0.0001,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,46.2,0.69894,0.00184,9.16304,0.78862,0.0038,100.0,2.45404,jams,0.0001,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,27.0,0.1864,0.0242,15.091,0.6729,0.0526,78.5714,25.7997,jams,0.0001,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,16.0,0.089,0.0647,17.8561,0.4826,0.1513,54.5455,51.3142,jams,0.0001,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,17.0,0.3186,0.0486,16.9562,0.5871,0.1105,63.6364,33.5233,jams,0.0001,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,19.0,0.446,0.0429,15.4037,0.5924,0.0883,81.8182,23.7525,jams,0.0001,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,14.0,0.8856,0.0248,12.9189,0.8263,0.0454,72.7273,3.7069,jams,0.0001,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,33.166666666666664,0.5713,0.0023,7.653016666666667,0.7754666666666666,0.003283333333333333,100.0,6.8316333333333334,jams,0.0001,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,83.0,0.0693,0.0165,17.843,0.3159,0.0497,45.4545,37.3443,wgsa2,0.0001,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,59.0,0.7585,0.0065,12.3811,0.8082,0.0209,97.3684,2.0432,wgsa2,0.0001,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,46.0,0.7151,0.0094,7.1668,0.7846,0.0325,95.2381,4.133,wgsa2,0.0001,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,38.8,0.91418,0.0019999999999999996,8.81956,0.8050599999999999,0.00498,100.0,4.065479999999999,wgsa2,0.0001,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,63.2,0.59512,0.0016999999999999997,11.36736,0.73346,0.00418,100.0,14.06352,wgsa2,0.0001,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,30.0,0.3464,0.0262,16.534,0.607,0.0433,85.7143,17.2082,wgsa2,0.0001,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,27.0,0.1018,0.0423,17.8445,0.4294,0.1187,81.8182,50.9876,wgsa2,0.0001,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,30.0,0.4219,0.0242,19.0819,0.6367,0.0729,81.8182,27.5901,wgsa2,0.0001,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,28.0,0.4651,0.0298,15.3249,0.5824,0.0821,90.9091,9.2576,wgsa2,0.0001,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,18.0,0.889,0.0189,13.353,0.8297,0.041,90.9091,2.6146,wgsa2,0.0001,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,52.166666666666664,0.45055,0.0017999999999999997,10.500516666666666,0.7142166666666667,0.0038833333333333337,100.0,20.190933333333334,wgsa2,0.0001,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,109.0,0.2502,0.0148,15.1342,0.1949,0.0729,9.0909,11.9647,woltka,0.0001,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,93.0,0.7576,0.0067,21.5664,0.6882,0.0171,86.8421,8.5091,woltka,0.0001,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,96.0,0.7546,0.0073,17.2225,0.6489,0.0215,80.9524,30.6668,woltka,0.0001,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,135.2,0.39082000000000006,0.00138,15.4061,0.5366600000000001,0.006039999999999999,100.0,22.23968,woltka,0.0001,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,230.4,0.51472,0.0007,18.40118,0.6045999999999999,0.0023,100.0,27.3918,woltka,0.0001,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,242.0,0.0967,0.0055,24.3052,0.3344,0.0247,71.4286,59.141,woltka,0.0001,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,141.0,0.0084,0.0124,24.9533,0.1282,0.0607,72.7273,85.319,woltka,0.0001,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,193.0,0.2919,0.0068,26.5358,0.3469,0.0314,72.7273,60.8341,woltka,0.0001,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,148.0,0.0621,0.0096,23.6387,0.2863,0.0477,72.7273,69.4645,woltka,0.0001,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,132.0,0.6407,0.0057,23.1236,0.623,0.0292,72.7273,19.7528,woltka,0.0001,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,257.0,0.49593333333333334,0.0006,19.371999999999996,0.5366833333333334,0.0019,100.0,26.144283333333334,woltka,0.0001,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,13.0,0.1411,0.1123,11.0598,0.2702,0.1844,36.3636,2.5913,biobakery4,0.001,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,38.0,0.9939,0.0025,7.6122,0.9516,0.0055,100.0,0.3722,biobakery4,0.001,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,22.0,0.9606,0.0069,3.4376,0.924,0.0185,95.2381,0.2679,biobakery4,0.001,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,17.0,0.90586,0.0031600000000000005,5.47404,0.866,0.00596,100.0,0.0,biobakery4,0.001,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,19.0,0.29650000000000004,0.004440000000000001,6.10042,0.7875400000000001,0.0061200000000000004,100.0,3.8641199999999998,biobakery4,0.001,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,21.0,0.131,0.0332,16.591,0.6519,0.0524,71.4286,26.6753,biobakery4,0.001,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,13.0,0.2396,0.0582,11.313,0.6214,0.1282,75.0,37.7749,biobakery4,0.001,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,15.0,0.0741,0.0742,12.6828,0.4434,0.1379,75.0,52.6298,biobakery4,0.001,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,11.0,0.2159,0.0644,9.7135,0.6456,0.1262,87.5,32.0567,biobakery4,0.001,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,9.0,0.9278,0.0261,6.1376,0.8825,0.0376,87.5,3.4883,biobakery4,0.001,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,20.833333333333332,0.6470666666666667,0.0020666666666666663,4.0316,0.8675833333333333,0.0032166666666666676,100.0,12.14625,biobakery4,0.001,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,24.0,0.0815,0.0528,14.6259,0.3668,0.0845,54.5455,49.6958,jams,0.001,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,39.0,0.9566,0.0057,8.7438,0.8881,0.0107,97.2973,1.0339,jams,0.001,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,22.0,0.9414,0.0103,3.8458,0.8867,0.0197,95.2381,0.0,jams,0.001,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,19.6,0.9041599999999999,0.0038599999999999997,9.449859999999997,0.8100799999999999,0.0064,98.94736,0.11894,jams,0.001,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,21.4,0.45914,0.003920000000000001,4.17272,0.79084,0.005640000000000001,100.0,1.7338999999999998,jams,0.001,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,17.0,0.0165,0.0384,14.8581,0.6739,0.0664,78.5714,25.6155,jams,0.001,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,11.0,0.0448,0.094,11.9445,0.4829,0.1826,75.0,51.288,jams,0.001,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,11.0,0.2468,0.0749,11.3507,0.5878,0.1375,87.5,33.5056,jams,0.001,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,12.0,0.3782,0.0678,9.879,0.5931,0.1112,100.0,23.6374,jams,0.001,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,10.0,0.871,0.0347,8.0847,0.8266,0.0537,87.5,3.6878,jams,0.001,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,23.166666666666668,0.2868,0.003183333333333333,4.18225,0.7770166666666666,0.003966666666666667,100.0,6.458833333333334,jams,0.001,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,31.0,0.0202,0.0439,15.6635,0.3199,0.0821,45.4545,36.2572,wgsa2,0.001,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,41.0,0.7407,0.0093,9.9588,0.8093,0.0251,97.2973,1.353,wgsa2,0.001,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,26.0,0.6839,0.0162,6.6543,0.789,0.0431,95.2381,3.011,wgsa2,0.001,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,18.4,0.90668,0.00418,7.83296,0.80718,0.007299999999999999,100.0,3.4510199999999998,wgsa2,0.001,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,25.4,0.3985,0.0040999999999999995,6.3998,0.73782,0.00664,100.0,13.025739999999999,wgsa2,0.001,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,18.0,0.1471,0.0435,16.2251,0.6082,0.0561,85.7143,16.8108,wgsa2,0.001,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,10.0,0.0152,0.1141,11.2271,0.4295,0.1965,75.0,50.8964,wgsa2,0.001,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,11.0,0.2842,0.0655,12.9601,0.64,0.121,87.5,26.8075,wgsa2,0.001,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,13.0,0.3978,0.064,10.6108,0.5838,0.1213,100.0,8.647,wgsa2,0.001,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,11.0,0.8727,0.0309,6.6134,0.8303,0.0526,87.5,2.5378,wgsa2,0.001,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,26.0,0.1764,0.0035999999999999995,5.695433333333334,0.7197833333333333,0.005516666666666665,100.0,19.317133333333334,wgsa2,0.001,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,26.0,0.2274,0.0619,14.0853,0.1949,0.1576,9.0909,7.3008,woltka,0.001,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,55.0,0.7408,0.0111,18.5809,0.6939,0.0223,86.4865,7.5475,woltka,0.001,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,31.0,0.7208,0.022,16.4466,0.6593,0.0378,80.9524,29.4447,woltka,0.001,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,33.6,0.32184,0.005360000000000001,13.768960000000002,0.5496399999999999,0.012220000000000002,100.0,19.47892,woltka,0.001,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,52.4,0.37328,0.0028,7.573479999999999,0.63384,0.00482,100.0,22.914720000000003,woltka,0.001,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,53.0,0.0422,0.0248,21.6745,0.3417,0.0546,71.4286,57.0091,woltka,0.001,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,42.0,0.0014,0.0413,22.6362,0.132,0.1132,77.7778,84.8659,woltka,0.001,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,65.0,0.2649,0.0197,13.9926,0.3603,0.0543,75.0,59.2902,woltka,0.001,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,34.0,0.0285,0.0415,13.3621,0.2953,0.1013,75.0,68.276,woltka,0.001,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,31.0,0.6118,0.0243,12.4734,0.6235,0.0612,75.0,17.5551,woltka,0.001,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,49.0,0.35379999999999995,0.0030833333333333333,7.453133333333334,0.5487166666666666,0.004483333333333333,100.0,21.545383333333334,woltka,0.001,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,12.0,0.1319,0.1216,10.4449,0.2702,0.193,36.3636,2.0672,biobakery4,0.01,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,14.0,0.9937,0.0052,1.4097,0.9635,0.0086,100.0,0.0,biobakery4,0.01,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,11.0,0.9521,0.0139,0.8675,0.9237,0.0276,100.0,0.0,biobakery4,0.01,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,13.0,0.89416,0.00408,5.28404,0.8677399999999998,0.006840000000000001,100.0,0.0,biobakery4,0.01,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,19.0,0.29650000000000004,0.004440000000000001,6.10042,0.7875400000000001,0.0061200000000000004,100.0,3.8641199999999998,biobakery4,0.01,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,15.0,0.0055,0.046,5.9585,0.6552,0.0627,75.0,25.6302,biobakery4,0.01,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,8.0,0.1224,0.094,7.6731,0.6242,0.1656,66.6667,37.5821,biobakery4,0.01,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,11.0,0.0327,0.1018,8.5582,0.44,0.1632,66.6667,53.0835,biobakery4,0.01,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,8.0,0.1135,0.0888,6.3661,0.6447,0.1496,83.3333,32.245,biobakery4,0.01,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,7.0,0.9134,0.0332,3.4419,0.8839,0.0429,83.3333,3.5164,biobakery4,0.01,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,17.333333333333332,0.421,0.0023166666666666665,3.908666666666667,0.8774166666666666,0.0035666666666666663,100.0,10.223799999999999,biobakery4,0.01,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,17.0,0.033,0.0749,13.9223,0.3637,0.1024,50.0,49.1705,jams,0.01,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,13.0,0.9389,0.0135,2.3673,0.9122,0.0205,92.3077,0.0,jams,0.01,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,11.0,0.9212,0.0202,0.7936,0.8891,0.0291,100.0,0.0,jams,0.01,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,13.0,0.8906599999999999,0.005639999999999999,5.695480000000001,0.8163,0.00784,100.0,0.0,jams,0.01,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,20.0,0.40565999999999997,0.00416,4.13164,0.79152,0.00582,100.0,1.5096000000000003,jams,0.01,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,14.0,0.0756,0.046,6.0395,0.6779,0.0736,83.3333,25.8196,jams,0.01,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,7.0,0.0001,0.1468,7.4168,0.4863,0.2308,66.6667,51.3672,jams,0.01,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,7.0,0.113,0.1164,7.2868,0.5925,0.1737,83.3333,33.1234,jams,0.01,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,7.0,0.2069,0.1144,4.4776,0.5996,0.1472,100.0,23.3534,jams,0.01,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,7.0,0.8406,0.0487,3.6929,0.8297,0.0642,83.3333,3.6931,jams,0.01,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,20.0,0.0307,0.0036500000000000005,4.0605,0.7814333333333332,0.004266666666666666,100.0,5.39205,jams,0.01,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,16.0,0.0073,0.0838,14.5024,0.3292,0.1194,40.0,32.6394,wgsa2,0.01,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,13.0,0.619,0.0282,2.5907,0.8164,0.0517,92.3077,0.0,wgsa2,0.01,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,12.0,0.5804,0.0351,2.6406,0.7893,0.0664,100.0,1.8748,wgsa2,0.01,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,14.0,0.9017,0.00546,4.16322,0.8082,0.00838,100.0,3.37916,wgsa2,0.01,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,19.0,0.20926,0.005359999999999999,6.28322,0.7437399999999998,0.0078,100.0,11.413260000000001,wgsa2,0.01,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,14.0,0.003,0.0556,9.4842,0.6111,0.0645,83.3333,16.3984,wgsa2,0.01,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,8.0,0.0007,0.1438,7.9577,0.4247,0.223,66.6667,51.8781,wgsa2,0.01,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,7.0,0.1332,0.1017,10.4422,0.644,0.1549,83.3333,26.3732,wgsa2,0.01,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,7.0,0.2615,0.1191,9.2097,0.5832,0.1686,100.0,8.1453,wgsa2,0.01,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,7.0,0.8411,0.0479,3.7989,0.8325,0.0668,83.3333,2.3968,wgsa2,0.01,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
