SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,20,0.0749,0.0240,7.1372,0.7602,0.0336,89.4737,6.4245,biobakery3
SRR17380242,20,0.0712,0.0237,7.1126,0.7631,0.0332,89.4737,6.4792,biobakery3
SRR17380243,20,0.0619,0.0236,7.1395,0.7644,0.0334,89.4737,6.9590,biobakery3
SRR17380244,20,0.0709,0.0243,7.2037,0.7569,0.0336,89.4737,6.3814,biobakery3
SRR17380245,20,0.0818,0.0236,7.0535,0.7637,0.0332,89.4737,6.2467,biobakery3
SRR17380246,20,0.0727,0.0240,7.0955,0.7597,0.0336,89.4737,6.3996,biobakery3
Average,20,0.0722,0.0239,7.1237,0.7614,0.0334,89.4737,6.4817,biobakery3
SRR17380241,19,0.6837,0.0055,0.8240,0.9475,0.0088,100.0000,0.0000,biobakery4
SRR17380242,19,0.6870,0.0059,0.8258,0.9438,0.0088,100.0000,0.0000,biobakery4
SRR17380243,19,0.6937,0.0055,0.8024,0.9475,0.0086,100.0000,0.0000,biobakery4
SRR17380244,19,0.6972,0.0054,0.8024,0.9485,0.0086,100.0000,0.0000,biobakery4
SRR17380245,19,0.6820,0.0055,0.8160,0.9480,0.0087,100.0000,0.0000,biobakery4
SRR17380246,19,0.6892,0.0054,0.8015,0.9485,0.0087,100.0000,0.0000,biobakery4
Average,19,0.6888,0.0055,0.8120,0.9473,0.0087,100.0000,0.0000,biobakery4
SRR17380241,20,0.1451,0.0195,2.1479,0.8049,0.0227,100.0000,0.9384,jams
SRR17380242,20,0.1452,0.0195,2.1927,0.8054,0.0227,100.0000,1.0187,jams
SRR17380243,20,0.1515,0.0194,2.1045,0.8058,0.0226,100.0000,0.8649,jams
SRR17380244,20,0.1549,0.0193,2.0083,0.8068,0.0226,100.0000,0.6906,jams
SRR17380245,20,0.1507,0.0194,2.0585,0.8059,0.0227,100.0000,0.7782,jams
SRR17380246,20,0.1467,0.0196,2.0865,0.8044,0.0228,100.0000,0.8122,jams
Average,20,0.1490,0.0194,2.0997,0.8055,0.0227,100.0000,0.8505,jams
SRR17380241,20,0.1470,0.0195,2.1275,0.8050,0.0227,100.0000,0.8986,jams202212
SRR17380242,20,0.1465,0.0194,2.1818,0.8055,0.0227,100.0000,0.9961,jams202212
SRR17380243,20,0.1553,0.0194,2.0490,0.8059,0.0226,100.0000,0.7466,jams202212
SRR17380244,20,0.1596,0.0193,1.9456,0.8074,0.0226,100.0000,0.5548,jams202212
SRR17380245,20,0.1519,0.0194,2.0628,0.8062,0.0226,100.0000,0.7961,jams202212
SRR17380246,20,0.1473,0.0195,2.0798,0.8046,0.0228,100.0000,0.8016,jams202212
Average,20,0.1513,0.0194,2.0744,0.8058,0.0227,100.0000,0.7990,jams202212
SRR17380241,22,0.0340,0.0218,4.3160,0.7607,0.0322,100.0000,11.9067,wgsa2
SRR17380242,22,0.0312,0.0220,4.3616,0.7583,0.0327,100.0000,12.1106,wgsa2
SRR17380243,22,0.0354,0.0217,4.3124,0.7609,0.0321,100.0000,11.8266,wgsa2
SRR17380244,22,0.0325,0.0217,4.3342,0.7608,0.0323,100.0000,11.9634,wgsa2
SRR17380245,22,0.0341,0.0217,4.3188,0.7614,0.0321,100.0000,11.8928,wgsa2
SRR17380246,22,0.0339,0.0217,4.3226,0.7612,0.0321,100.0000,11.8980,wgsa2
Average,22,0.0335,0.0218,4.3276,0.7606,0.0322,100.0000,11.9330,wgsa2
SRR17380241,29,0.1152,0.0302,10.4508,0.5627,0.0396,89.4737,19.4329,woltka
SRR17380242,30,0.1292,0.0291,10.5100,0.5634,0.0386,89.4737,19.9125,woltka
SRR17380243,29,0.1151,0.0302,10.4666,0.5626,0.0396,89.4737,19.4463,woltka
SRR17380244,29,0.1149,0.0302,10.4563,0.5619,0.0397,89.4737,19.3745,woltka
SRR17380245,29,0.1154,0.0302,10.4674,0.5620,0.0397,89.4737,19.3283,woltka
SRR17380246,30,0.1303,0.0292,10.5145,0.5614,0.0390,89.4737,19.4274,woltka
Average,29,0.1200,0.0299,10.4776,0.5623,0.0394,89.4737,19.4870,woltka
