genus,SRR11487939,tax_id
AKKERMANSIA,0.0692926,239934
ALISTIPES,0.0486879,239759
ANAEROBUTYRICUM,0.0382632,2569097
ANAEROSTIPES,0.044389000000000005,207244
BACTEROIDES,0.08101430000000001,816
BIFIDOBACTERIUM,0.21563120000000002,1678
BLAUTIA,0.0362971,572511
CLOSTRIDIUM,0.0084266,1485
COLLINSELLA,0.0430362,102106
ESCHERICHIA,0.043825399999999994,561
FAECALIBACTERIUM,0.0399675,216851
LACTOBACILLUS,0.0358117,1578
PARABACTEROIDES,0.0385677,375288
PREVOTELLA,0.1296273,838
ROSEBURIA,0.0826825,841
RUMINOCOCCUS,0.0444798,1263
