SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
EG,bio4,15,0.0055,0.0460,5.9585,0.6552,0.0627,75.0000,25.6302
EG,jams,14,0.0756,0.0460,6.0395,0.6779,0.0736,83.3333,25.8196
EG,wgsa2,14,0.0030,0.0556,9.4842,0.6111,0.0645,83.3333,16.3984
EG,woltka,16,0.1414,0.0801,7.5614,0.3592,0.1084,66.6667,52.5707
MIX-A,bio4,8,0.1224,0.0940,7.6731,0.6242,0.1656,66.6667,37.5821
MIX-A,jams,7,0.0001,0.1468,7.4168,0.4863,0.2308,66.6667,51.3672
MIX-A,wgsa2,8,0.0007,0.1438,7.9577,0.4247,0.2230,66.6667,51.8781
MIX-A,woltka,13,0.0258,0.1323,14.2265,0.1401,0.2122,71.4286,84.1320
MIX-B,bio4,11,0.0327,0.1018,8.5582,0.4400,0.1632,66.6667,53.0835
MIX-B,jams,7,0.1130,0.1164,7.2868,0.5925,0.1737,83.3333,33.1234
MIX-B,wgsa2,7,0.1332,0.1017,10.4422,0.6440,0.1549,83.3333,26.3732
MIX-B,woltka,15,0.1185,0.0784,13.3315,0.4119,0.1154,71.4286,52.9271
MIX-C,bio4,8,0.1135,0.0888,6.3661,0.6447,0.1496,83.3333,32.2450
MIX-C,jams,7,0.2069,0.1144,4.4776,0.5996,0.1472,100.0000,23.3534
MIX-C,wgsa2,7,0.2615,0.1191,9.2097,0.5832,0.1686,100.0000,8.1453
MIX-C,woltka,11,0.0198,0.1263,12.8518,0.3056,0.1827,71.4286,66.7461
MIX-D,bio4,7,0.9134,0.0332,3.4419,0.8839,0.0429,83.3333,3.5164
MIX-D,jams,7,0.8406,0.0487,3.6929,0.8297,0.0642,83.3333,3.6931
MIX-D,wgsa2,7,0.8411,0.0479,3.7989,0.8325,0.0668,83.3333,2.3968
MIX-D,woltka,11,0.5316,0.0680,11.6050,0.6258,0.1067,71.4286,13.3686
