SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
EG,bio4,12,0.3450,0.0265,2.7305,0.8407,0.0370,91.6667,0.0000
EG,jams,12,0.2265,0.0285,3.3366,0.8291,0.0430,100.0000,0.0000
EG,wgsa2,12,0.1825,0.0236,3.8004,0.8587,0.0299,100.0000,0.0000
EG,woltka,12,0.1088,0.0638,2.9017,0.6171,0.0820,100.0000,0.0000
MIX-A,bio4,6,0.9852,0.0136,1.1183,0.9591,0.0193,100.0000,0.0000
MIX-A,jams,6,0.7201,0.0650,0.8890,0.8050,0.0943,100.0000,0.0000
MIX-A,wgsa2,6,0.9898,0.0157,0.6871,0.9529,0.0202,100.0000,0.0000
MIX-A,woltka,8,0.3271,0.1112,6.3880,0.5554,0.1486,100.0000,17.2275
MIX-B,bio4,7,0.6653,0.0666,8.3377,0.7670,0.0927,85.7143,0.0000
MIX-B,jams,6,0.9497,0.0347,2.8524,0.8958,0.0399,100.0000,0.0000
MIX-B,wgsa2,6,0.9550,0.0298,3.7221,0.9107,0.0333,100.0000,0.0000
MIX-B,woltka,12,0.8176,0.0469,10.1429,0.7188,0.0638,100.0000,5.8849
MIX-C,bio4,7,0.0807,0.0942,6.1183,0.6702,0.1587,83.3333,29.7475
MIX-C,jams,7,0.2091,0.1117,4.4364,0.6091,0.1444,100.0000,23.5205
MIX-C,wgsa2,7,0.2849,0.1130,4.9289,0.6044,0.1613,100.0000,8.6081
MIX-C,woltka,8,0.0110,0.1120,7.0910,0.5519,0.1737,100.0000,41.9269
MIX-D,bio4,6,0.9125,0.0292,0.4479,0.9124,0.0426,100.0000,0.0000
MIX-D,jams,6,0.8248,0.0465,0.9017,0.8605,0.0661,100.0000,0.0000
MIX-D,wgsa2,6,0.8216,0.0449,0.5821,0.8652,0.0674,100.0000,0.0000
MIX-D,woltka,8,0.5863,0.0725,5.1991,0.7101,0.1070,100.0000,0.0000
