Genus,RA,tax_id
ACHROMOBACTER,0.291,222
ACINETOBACTER,0.00031,469
AEROMONAS,0.0054,642
ENTEROCOCCUS,0.039,1350
ESCHERICHIA,0.0,561
KLEBSIELLA,0.00031,570
LEGIONELLA,0.0054,445
LISTERIA,0.039,1637
NEISSERIA,0.0,482
SALMONELLA,0.00031,590
SHIGELLA,0.291,620
STAPHYLOCOCCUS,0.0,1279
STREPTOCOCCUS,0.291,1301
VIBRIO,0.039,662
