Genus,RA
Achromobacter,0.0
Acinetobacter,0.026
Aeromonas,0.0047
Enterococcus,0.00033
Escherichia,0.304
Klebsiella,0.026
Legionella,0.0047
Listeria,0.00033
Neisseria,0.304
Salmonella,0.026
Shigella,0.0
Staphylococcus,0.304
Streptococcus,0.0
Vibrio,0.00033
