SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,Run
S1,13,0.2384,0.0721,11.3065,0.5313,0.1068,63.6364,17.9266,biobakery4,0.0001,bmock12,0
S1,42,0.1427,0.0302,22.3681,0.3656,0.0637,54.5455,50.0438,jams,0.0001,bmock12,0
S1,83,0.0693,0.0165,24.4673,0.3159,0.0497,45.4545,37.3443,wgsa2,0.0001,bmock12,0
S1,109,0.2502,0.0148,26.4484,0.1949,0.0729,9.0909,11.9647,woltka,0.0001,bmock12,0
EG,16,0.013,0.0408,18.0567,0.6733,0.0599,78.5714,24.0614,biobakery4,0.0001,nist,0
EG,27,0.0851,0.0296,22.1001,0.6009,0.0563,78.5714,21.9219,jams,0.0001,nist,0
EG,30,0.3464,0.0262,20.6267,0.607,0.0433,85.7143,17.2082,wgsa2,0.0001,nist,0
EG,242,0.0967,0.0055,27.6218,0.3344,0.0247,71.4286,59.141,woltka,0.0001,nist,0
MIX-A,13,0.2833,0.0538,16.8882,0.6502,0.1217,72.7273,33.7806,biobakery4,0.0001,nist,0
MIX-A,16,0.0846,0.0668,21.7374,0.4655,0.1484,54.5455,49.4936,jams,0.0001,nist,0
MIX-A,27,0.1018,0.0423,18.1212,0.4294,0.1187,81.8182,50.9876,wgsa2,0.0001,nist,0
MIX-A,141,0.0084,0.0124,26.1863,0.1282,0.0607,72.7273,85.319,woltka,0.0001,nist,0
MIX-B,14,0.2461,0.0544,17.7359,0.6189,0.1212,54.5455,36.7412,biobakery4,0.0001,nist,0
MIX-B,17,0.3087,0.0502,21.038,0.5734,0.108,63.6364,31.9202,jams,0.0001,nist,0
MIX-B,30,0.4219,0.0242,22.7774,0.6367,0.0729,81.8182,27.5901,wgsa2,0.0001,nist,0
MIX-B,193,0.2919,0.0068,27.7691,0.3469,0.0314,72.7273,60.8341,woltka,0.0001,nist,0
MIX-C,12,0.1643,0.0749,11.569,0.5504,0.1363,63.6364,32.3094,biobakery4,0.0001,nist,0
MIX-C,19,0.4303,0.0448,18.4361,0.5746,0.0866,81.8182,22.3543,jams,0.0001,nist,0
MIX-C,28,0.4651,0.0298,15.9642,0.5824,0.0821,90.9091,9.2576,wgsa2,0.0001,nist,0
MIX-C,148,0.0621,0.0096,24.878,0.2863,0.0477,72.7273,69.4645,woltka,0.0001,nist,0
MIX-D,13,0.9539,0.015,9.9879,0.9023,0.027,63.6364,3.2217,biobakery4,0.0001,nist,0
MIX-D,14,0.8803,0.0269,16.2225,0.8119,0.0446,72.7273,3.605,jams,0.0001,nist,0
MIX-D,18,0.889,0.0189,16.4008,0.8297,0.041,90.9091,2.6146,wgsa2,0.0001,nist,0
MIX-D,132,0.6407,0.0057,24.1012,0.623,0.0292,72.7273,19.7528,woltka,0.0001,nist,0
S1,41,0.9868,0.0027,12.7647,0.9456,0.0062,89.4737,3.0566,biobakery4,0.0001,camisimGI,0
S1,51,0.9539,0.0048,15.0361,0.8765,0.0097,97.3684,1.4388,jams,0.0001,camisimGI,0
S1,59,0.7585,0.0065,13.4764,0.8082,0.0209,97.3684,2.0432,wgsa2,0.0001,camisimGI,0
S1,93,0.7576,0.0067,30.7596,0.6882,0.0171,86.8421,8.5091,woltka,0.0001,camisimGI,0
S2,22,0.8799,0.0187,9.1242,0.7943,0.0347,90.4762,4.2389,biobakery4,0.0001,camisimGI,0
S2,25,0.943,0.0095,4.8525,0.8818,0.0185,100.0,0.2055,jams,0.0001,camisimGI,0
S2,45,0.7143,0.0095,6.3786,0.7868,0.0328,100.0,3.9102,wgsa2,0.0001,camisimGI,0
S2,96,0.7546,0.0073,25.8766,0.6489,0.0215,80.9524,30.6668,woltka,0.0001,camisimGI,0
