SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP,Pipeline,threshold,Source
SRR11487931,19,0.9202,0.0189,2.7055,0.8205,0.0397,100.0,0.0,0.0,0.0,biobakery4,0.0001,hilo
SRR11487932,19,0.9183,0.0193,2.7692,0.8164,0.0397,100.0,0.0,0.0,0.0,biobakery4,0.0001,hilo
SRR11487933,19,0.9283,0.0177,2.6827,0.8318,0.0364,100.0,0.0,0.0,0.0,biobakery4,0.0001,hilo
SRR11487934,19,0.9237,0.0184,2.6704,0.8256,0.0376,100.0,0.0,0.0,0.0,biobakery4,0.0001,hilo
SRR11487935,19,0.9309,0.0176,2.7348,0.8326,0.0359,100.0,0.0,0.0,0.0,biobakery4,0.0001,hilo
SRR11487931,26,0.901,0.0152,12.9272,0.8021,0.0278,100.0,0.1878,0.0309050109795961,7.0,jams,0.0001,hilo
SRR11487932,27,0.8969,0.0148,12.7516,0.8005,0.0278,100.0,0.1244,0.0295541510899062,8.0,jams,0.0001,hilo
SRR11487933,27,0.9066,0.0141,12.2769,0.8091,0.0258,100.0,0.1277,0.0315238688011463,8.0,jams,0.0001,hilo
SRR11487934,28,0.9007,0.014,13.2173,0.8033,0.0263,94.7368,0.2751,0.0304258883766921,9.0,jams,0.0001,hilo
SRR11487935,28,0.9129,0.0135,12.8052,0.8114,0.0247,100.0,0.2303,0.0316081312368007,9.0,jams,0.0001,hilo
SRR11487931,20,0.8976,0.0196,6.4896,0.8036,0.0328,63.1579,0.0,0.0089668198060234,1.0,jams202212,0.0001,hilo
SRR11487932,20,0.8943,0.0196,6.3428,0.8035,0.033,63.1579,0.0,0.0072499048213959,1.0,jams202212,0.0001,hilo
SRR11487933,20,0.9045,0.0188,6.3594,0.8122,0.0305,63.1579,0.0,0.0092653507094357,1.0,jams202212,0.0001,hilo
SRR11487934,20,0.8969,0.0194,6.3717,0.8064,0.0319,63.1579,0.0,0.0077466342069145,1.0,jams202212,0.0001,hilo
SRR11487935,20,0.9111,0.0185,6.2218,0.815,0.0298,63.1579,0.0,0.007918151192369,1.0,jams202212,0.0001,hilo
SRR11487931,35,0.8995,0.0125,12.55,0.7812,0.034,89.4737,0.5918,0.0036243964873061,16.0,sunbeam,0.0001,hilo
SRR11487932,35,0.8989,0.0126,12.1468,0.7788,0.034,89.4737,0.5945,0.0037326905375785,16.0,sunbeam,0.0001,hilo
SRR11487933,36,0.9057,0.0117,12.185,0.79,0.0313,89.4737,0.6016,0.0037311025730655,17.0,sunbeam,0.0001,hilo
SRR11487934,35,0.904,0.0122,11.8857,0.7857,0.0322,89.4737,0.5927,0.0036937791643493,16.0,sunbeam,0.0001,hilo
SRR11487935,36,0.9096,0.0113,11.9551,0.7974,0.0305,89.4737,0.5983,0.0038473642992892,17.0,sunbeam,0.0001,hilo
SRR11487931,40,0.9104,0.0101,12.466,0.7984,0.0258,89.4737,0.65,0.0326018406678566,21.0,wgsa2,0.0001,hilo
SRR11487932,39,0.9091,0.0104,12.9089,0.7974,0.0261,89.4737,0.8454,0.0325040618659578,20.0,wgsa2,0.0001,hilo
SRR11487933,42,0.9178,0.0091,12.1933,0.8081,0.023,89.4737,0.6676,0.0342569353367641,23.0,wgsa2,0.0001,hilo
SRR11487934,40,0.9148,0.0097,12.3884,0.8052,0.0243,89.4737,0.7799,0.0327528780267864,21.0,wgsa2,0.0001,hilo
SRR11487935,43,0.9209,0.0088,12.2282,0.8107,0.0223,89.4737,0.6825,0.0349046638512857,24.0,wgsa2,0.0001,hilo
SRR11487931,133,0.3934,0.007,16.3473,0.5356,0.0303,94.7368,22.3368,0.0,114.0,woltka,0.0001,hilo
SRR11487932,137,0.3783,0.0069,16.5801,0.5277,0.0305,94.7368,22.5242,0.0,118.0,woltka,0.0001,hilo
SRR11487933,137,0.3875,0.0068,16.3657,0.536,0.03,94.7368,22.2556,0.0,118.0,woltka,0.0001,hilo
SRR11487934,136,0.4007,0.0067,16.3337,0.5419,0.0297,94.7368,22.0471,0.0,117.0,woltka,0.0001,hilo
SRR11487935,138,0.3947,0.0067,16.2957,0.5411,0.0296,94.7368,22.0347,0.0,119.0,woltka,0.0001,hilo
S1,15,0.1578,0.0973,22.1457,0.2702,0.1716,33.3333,2.6303,0.0,3.0,biobakery3,0.0001,bmock12
S1,14,0.2588,0.067,16.8327,0.5313,0.1029,58.3333,17.9266,0.0,2.0,biobakery4,0.0001,bmock12
S1,43,0.1446,0.0295,33.7177,0.3656,0.0629,50.0,50.0438,0.013231678827408,31.0,jams,0.0001,bmock12
S1,84,0.0697,0.0163,44.16,0.3159,0.0494,50.0,37.3442,0.2852785106375292,72.0,wgsa2,0.0001,bmock12
S1,110,0.2503,0.0146,42.1407,0.1949,0.0726,8.3333,11.9647,0.0,98.0,woltka,0.0001,bmock12
MBARC,28,0.4965,0.0169,18.991,0.7629,0.0353,92.0,7.9522,0.0,3.0,biobakery4,0.0001,mbarc
MBARC,26,0.2314,0.0229,9.1838,0.702,0.0501,40.0,0.0,0.1961638595773558,1.0,jams202212,0.0001,mbarc
MBARC,25,0.9875,0.0043,3.3009,0.9462,0.0064,100.0,0.0,0.0,0.0,sunbeam,0.0001,mbarc
SRR17380241,27,0.4246,0.0176,13.8483,0.763,0.0246,78.9474,12.1776,0.0,8.0,biobakery3,0.0001,tourlousse
SRR17380242,27,0.4218,0.0178,14.3753,0.7603,0.0244,78.9474,12.4936,0.0,8.0,biobakery3,0.0001,tourlousse
SRR17380243,26,0.3956,0.0182,13.8528,0.7637,0.0249,78.9474,12.2299,0.0,7.0,biobakery3,0.0001,tourlousse
SRR17380244,27,0.421,0.0177,14.5122,0.7605,0.0246,78.9474,12.067,0.0,8.0,biobakery3,0.0001,tourlousse
SRR17380245,27,0.4259,0.0174,15.6858,0.7645,0.0245,78.9474,12.2074,0.0,8.0,biobakery3,0.0001,tourlousse
SRR17380246,27,0.4226,0.0176,15.1287,0.7625,0.0246,78.9474,12.1748,0.0,8.0,biobakery3,0.0001,tourlousse
SRR17380241,20,0.3402,0.0097,3.8094,0.9025,0.0169,94.7368,4.7301,0.0,1.0,biobakery4,0.0001,tourlousse
SRR17380242,20,0.3412,0.0101,3.8479,0.8988,0.017,94.7368,4.7592,0.0,1.0,biobakery4,0.0001,tourlousse
SRR17380243,20,0.344,0.0098,3.8208,0.9025,0.0169,94.7368,4.7396,0.0,1.0,biobakery4,0.0001,tourlousse
SRR17380244,20,0.3497,0.0096,3.7897,0.9035,0.0168,94.7368,4.6947,0.0,1.0,biobakery4,0.0001,tourlousse
SRR17380245,20,0.3364,0.0097,3.807,0.903,0.0169,94.7368,4.7237,0.0,1.0,biobakery4,0.0001,tourlousse
SRR17380246,20,0.3469,0.0097,3.7765,0.9035,0.0168,94.7368,4.6524,0.0,1.0,biobakery4,0.0001,tourlousse
