genus,SRR11487937
Akkermansia,0.0742572
Alistipes,0.0007151000000000001
Anaerostipes,0.048640100000000006
Bacteroides,0.09584890000000001
Bifidobacterium,0.1510697
Blautia,0.0333231
Clostridium,0.0058874
Collinsella,0.0852332
Escherichia,0.0495257
Eubacterium,0.0461366
Faecalibacterium,0.0357519
Lactobacillus,0.0468023
Parabacteroides,0.052843999999999995
Prevotella,0.170686
Roseburia,0.103279
