genus,SRR11487938
Akkermansia,0.0728268
Alistipes,0.0011104
Anaerostipes,0.0494792
Bacteroides,0.09430350000000001
Bifidobacterium,0.1646294
Blautia,0.0331017
Clostridium,0.006670199999999999
Collinsella,0.0800102
Escherichia,0.0525441
Eubacterium,0.0453333
Faecalibacterium,0.0400108
Lactobacillus,0.0438657
Parabacteroides,0.0512713
Prevotella,0.163011
Roseburia,0.1018325
